
=======================================================
 Method: FEDAVG  |  Dataset: CICMALDROID
 Tasks: 5  |  Rounds/task: 25  |  Clients: 10
 DP: OFF
=======================================================
 Device: cpu
[CICMalDroid] 5385 samples, 200 features
[CICMalDroid] Benign=1795, Malware=3590
[CICMalDroid] Class dist: {1: 479, 2: 781, 3: 1405, 4: 925, 5: 1795}  (1=Adware 2=Banking 3=SMS 4=Riskware 5=Benign)
[Data] Strategy: category-aware temporal split + client specialization
  Task 0 (dom=Adware): 870 samples | Mal=511 Ben=359
  Task 1 (dom=Banking): 1131 samples | Mal=772 Ben=359
  Task 2 (dom=SMS): 1678 samples | Mal=1319 Ben=359
  Task 3 (dom=Riskware): 1258 samples | Mal=899 Ben=359
  Task 4 (dom=Adware): 448 samples | Mal=89 Ben=359
[Data] 5 tasks x 10 clients ready.

───────────────────────────────────────────────────────
 TASK 0  (25 rounds)
───────────────────────────────────────────────────────
  Client 06 | round= 17 | stage=STABLE     | score=0.023 | loss=0.6500 | acc=0.595 ✓
  Client 07 | round= 17 | stage=STABLE     | score=0.000 | loss=0.6162 | acc=0.643 ✓
  Client 08 | round= 17 | stage=STABLE     | score=0.193 | loss=0.5789 | acc=0.672 ✓
  Client 09 | round= 17 | stage=STABLE     | score=0.000 | loss=0.5461 | acc=0.719 ✓
[Server] Round 17: active=10/10 | τ=0.800 | avg_score=0.100 | avg_acc=0.690
  Client 00 | round= 18 | stage=REPLAY     | score=0.500 | loss=0.4969 | acc=0.828 ✓
  Client 01 | round= 18 | stage=STABLE     | score=0.272 | loss=0.4957 | acc=0.844 ✓
  Client 02 | round= 18 | stage=STABLE     | score=0.000 | loss=0.6060 | acc=0.683 ✓
  Client 03 | round= 18 | stage=REPLAY     | score=0.488 | loss=0.6372 | acc=0.537 ✓
  Client 04 | round= 18 | stage=REPLAY     | score=0.715 | loss=0.5919 | acc=0.628 ✓
  Client 05 | round= 18 | stage=STABLE     | score=0.000 | loss=0.6003 | acc=0.651 ✓
  Client 06 | round= 18 | stage=REPLAY     | score=0.311 | loss=0.6652 | acc=0.548 ✓
  Client 07 | round= 18 | stage=STABLE     | score=0.000 | loss=0.6262 | acc=0.643 ✓
  Client 08 | round= 18 | stage=REPLAY     | score=0.629 | loss=0.6124 | acc=0.609 ✓
  Client 09 | round= 18 | stage=STABLE     | score=0.000 | loss=0.5030 | acc=0.781 ✓
[Server] Round 18: active=10/10 | τ=0.800 | avg_score=0.292 | avg_acc=0.675
  Client 00 | round= 19 | stage=STABLE     | score=0.000 | loss=0.4732 | acc=0.859 ✓
  Client 01 | round= 19 | stage=STABLE     | score=0.000 | loss=0.4981 | acc=0.859 ✓
  Client 02 | round= 19 | stage=STABLE     | score=0.000 | loss=0.6024 | acc=0.659 ✓
  Client 03 | round= 19 | stage=REPLAY     | score=1.000 | loss=0.6372 | acc=0.610 ✓
  Client 04 | round= 19 | stage=STABLE     | score=0.000 | loss=0.5867 | acc=0.674 ✓
  Client 05 | round= 19 | stage=STABLE     | score=0.000 | loss=0.6029 | acc=0.651 ✓
  Client 06 | round= 19 | stage=REPLAY     | score=0.302 | loss=0.6495 | acc=0.524 ✓
  Client 07 | round= 19 | stage=STABLE     | score=0.144 | loss=0.5655 | acc=0.690 ✓
  Client 08 | round= 19 | stage=REPLAY     | score=0.422 | loss=0.6597 | acc=0.625 ✓
  Client 09 | round= 19 | stage=STABLE     | score=0.000 | loss=0.5810 | acc=0.734 ✓
[Server] Round 19: active=10/10 | τ=0.800 | avg_score=0.187 | avg_acc=0.689
  Client 00 | round= 20 | stage=STABLE     | score=0.000 | loss=0.4731 | acc=0.828 ✓
  Client 01 | round= 20 | stage=STABLE     | score=0.000 | loss=0.4278 | acc=0.875 ✓
  Client 02 | round= 20 | stage=STABLE     | score=0.035 | loss=0.6563 | acc=0.634 ✓
  Client 03 | round= 20 | stage=REPLAY     | score=0.602 | loss=0.6194 | acc=0.634 ✓
  Client 04 | round= 20 | stage=STABLE     | score=0.000 | loss=0.5544 | acc=0.721 ✓
  Client 05 | round= 20 | stage=STABLE     | score=0.128 | loss=0.5984 | acc=0.628 ✓
  Client 06 | round= 20 | stage=STABLE     | score=0.073 | loss=0.6332 | acc=0.619 ✓
  Client 07 | round= 20 | stage=STABLE     | score=0.091 | loss=0.6148 | acc=0.667 ✓
  Client 08 | round= 20 | stage=STABLE     | score=0.000 | loss=0.5797 | acc=0.703 ✓
  Client 09 | round= 20 | stage=STABLE     | score=0.000 | loss=0.5236 | acc=0.734 ✓
[Server] Round 20: active=10/10 | τ=0.800 | avg_score=0.093 | avg_acc=0.704
  Client 00 | round= 21 | stage=STABLE     | score=0.000 | loss=0.5017 | acc=0.828 ✓
  Client 01 | round= 21 | stage=STABLE     | score=0.068 | loss=0.5033 | acc=0.812 ✓
  Client 02 | round= 21 | stage=STABLE     | score=0.069 | loss=0.5995 | acc=0.634 ✓
  Client 03 | round= 21 | stage=STABLE     | score=0.000 | loss=0.6316 | acc=0.585 ✓
  Client 04 | round= 21 | stage=STABLE     | score=0.000 | loss=0.5370 | acc=0.814 ✓
  Client 05 | round= 21 | stage=STABLE     | score=0.292 | loss=0.5899 | acc=0.674 ✓
  Client 06 | round= 21 | stage=REPLAY     | score=0.660 | loss=0.6691 | acc=0.595 ✓
  Client 07 | round= 21 | stage=STABLE     | score=0.000 | loss=0.5988 | acc=0.643 ✓
  Client 08 | round= 21 | stage=STABLE     | score=0.000 | loss=0.5908 | acc=0.688 ✓
  Client 09 | round= 21 | stage=STABLE     | score=0.000 | loss=0.5504 | acc=0.719 ✓
